[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:00:01 | ~01:32:55 left] [Ep 0] Reward: 156.57 | Coverage: 56.0% | Eps: 1.000 | Loss: 0.0000
[+00:00:02 | ~01:32:54 left] [Ep 1] Reward: 413.02 | Coverage: 53.0% | Eps: 1.000 | Loss: 0.0000
[+00:00:03 | ~01:32:52 left] [Ep 2] Reward: 270.82 | Coverage: 56.2% | Eps: 1.000 | Loss: 0.0000
[+00:00:04 | ~01:32:51 left] [Ep 3] Reward: 436.29 | Coverage: 58.6% | Eps: 0.999 | Loss: 0.0000
[+00:00:05 | ~01:32:50 left] [Ep 4] Reward: 447.43 | Coverage: 51.0% | Eps: 0.999 | Loss: 0.0000
[+00:00:06 | ~01:32:49 left] [Ep 5] Reward: 262.03 | Coverage: 56.0% | Eps: 0.999 | Loss: 0.0000
[+00:00:07 | ~01:32:48 left] [Ep 6] Reward: 364.00 | Coverage: 56.0% | Eps: 0.999 | Loss: 0.0000
[+00:00:08 | ~01:32:47 left] [Ep 7] Reward: 424.81 | Coverage: 44.8% | Eps: 0.998 | Loss: 0.0000
[+00:00:10 | ~01:32:46 left] [Ep 8] Reward: 278.13 | Coverage: 62.5% | Eps: 0.998 | Loss: 0.0000
[+00:00:11 | ~01:32:45 left] [Ep 9] Reward: 462.55 | Coverage: 59.8% | Eps: 0.998 | Loss: 0.0000
[+00:00:12 | ~01:32:44 left] [Ep 10] Reward: 262.91 | Coverage: 52.0% | Eps: 0.998 | Loss: 0.0000
[+00:00:13 | ~01:32:42 left] [Ep 11] Reward: 359.45 | Coverage: 54.9% | Eps: 0.997 | Loss: 0.0000
[+00:00:14 | ~01:32:41 left] [Ep 12] Reward: 403.87 | Coverage: 59.2% | Eps: 0.997 | Loss: 0.0000
[+00:00:15 | ~01:32:40 left] [Ep 13] Reward: 106.46 | Coverage: 54.3% | Eps: 0.997 | Loss: 0.0000
[+00:00:16 | ~01:32:39 left] [Ep 14] Reward: 211.53 | Coverage: 54.5% | Eps: 0.997 | Loss: 0.0000
[+00:00:17 | ~01:32:38 left] [Ep 15] Reward: 258.06 | Coverage: 46.7% | Eps: 0.996 | Loss: 0.0000
[+00:00:18 | ~01:32:37 left] [Ep 16] Reward: 199.54 | Coverage: 59.6% | Eps: 0.996 | Loss: 0.0000
[+00:00:19 | ~01:32:36 left] [Ep 17] Reward: 51.43 | Coverage: 56.8% | Eps: 0.996 | Loss: 0.0000
[+00:00:20 | ~01:32:35 left] [Ep 18] Reward: 302.59 | Coverage: 57.8% | Eps: 0.996 | Loss: 0.0000
[+00:00:22 | ~01:32:34 left] [Ep 19] Reward: 239.11 | Coverage: 46.2% | Eps: 0.995 | Loss: 0.0000
[+00:00:23 | ~01:32:33 left] [Ep 20] Reward: 339.99 | Coverage: 66.6% | Eps: 0.995 | Loss: 0.0000
[+00:00:24 | ~01:32:31 left] [Ep 21] Reward: 206.22 | Coverage: 57.0% | Eps: 0.995 | Loss: 0.0000
[+00:00:25 | ~01:32:30 left] [Ep 22] Reward: 318.59 | Coverage: 53.5% | Eps: 0.995 | Loss: 0.0000
